ip,time,method,url,status,size,duration,referer,agent
103.169.35.41,2024-02-06 14:02:37 ,POST,/index.html,404,3211,1860,-,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_3; rv:1.9.3.20) Gecko/4996-12-19 04:21:29.778427 Firefox/8.0
89.86.113.252,2024-04-28 03:26:04 ,GET,/admin,301,1434,2072,-,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; sv-SE) AppleWebKit/534.15.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6534.15.5"
17.120.65.75,2024-03-28 19:17:15 ,POST,/index.html,403,2643,1264,https://www.hoffman-bryant.info/,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_3 rv:2.0; ms-MY) AppleWebKit/534.30.5 (KHTML, like Gecko) Version/4.0.1 Safari/534.30.5"
210.119.159.55,2024-02-22 13:17:13 ,GET,/help,500,4160,3369,http://www.hartman-mercer.info/,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/13.3a6686.0 Mobile/59T565 Safari/535.2"
115.213.247.179,2024-06-07 15:43:25 ,POST,/login,404,827,3259,-,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/535.44.2 (KHTML, like Gecko) Version/5.0 Safari/535.44.2"
180.176.128.141,2024-01-16 06:04:30 ,GET,/login,404,2455,4791,-,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/37.0.883.0 Safari/533.1"
194.214.66.95,2024-04-23 10:17:04 ,GET,/settings,301,2704,1552,http://www.black-johnson.net/,"Mozilla/5.0 (Windows 95) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/57.0.869.0 Safari/531.1"
146.56.79.240,2024-06-29 09:57:26 ,GET,/contact.html,200,281,673,-,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/535.45.3 (KHTML, like Gecko) Version/5.1 Safari/535.45.3"
84.202.41.130,2024-01-30 19:20:49 ,POST,/admin,301,4897,1006,https://www.taylor.com/,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 11.0; Trident/4.1)
82.203.242.32,2024-04-18 13:39:36 ,GET,/upload,200,2413,2274,-,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_3) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/14.0.868.0 Safari/531.1"
70.172.231.130,2024-04-20 10:15:57 ,POST,/upload,200,4950,2777,https://houston.net/,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_7; rv:1.9.3.20) Gecko/3783-11-08 06:43:44.480331 Firefox/3.6.13
38.78.158.132,2024-05-10 19:32:35 ,POST,/help,500,4465,3575,-,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.2.6 (KHTML, like Gecko) Version/4.0.3 Safari/535.2.6"
26.112.11.23,2024-02-29 01:49:32 ,POST,/settings,301,163,2150,http://www.parker.com/,Opera/8.99.(X11; Linux x86_64; bg-BG) Presto/2.9.172 Version/11.00
162.59.48.44,2024-04-23 12:16:31 ,GET,/comment,301,4488,1228,https://solomon.com/,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/37.0.858.0 Safari/532.1"
182.155.100.31,2024-07-09 02:49:43 ,GET,/comment,200,3071,1818,https://www.jacobs.net/,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.0)
123.246.84.145,2024-05-21 05:50:18 ,POST,/index.html,301,3893,4410,-,Mozilla/5.0 (Windows NT 4.0; szl-PL; rv:1.9.1.20) Gecko/2728-12-17 04:59:03.850323 Firefox/11.0
43.15.59.14,2024-02-01 20:35:11 ,POST,/contact.html,301,2005,4827,https://thompson.com/,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/8145-05-20 05:09:27.030396 Firefox/3.6.15
3.198.194.37,2024-01-17 09:29:12 ,GET,/settings,500,1233,4944,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/49.0.820.0 Mobile/86E578 Safari/535.1"
44.61.227.33,2024-01-07 12:19:00 ,GET,/products,301,111,1320,-,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; eo-US) AppleWebKit/531.47.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6531.47.6"
4.41.171.99,2024-01-21 01:39:12 ,GET,/help,403,502,820,http://www.roberts.com/,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.1)
157.133.240.94,2024-03-31 05:48:26 ,POST,/contact.html,301,713,4363,https://moore-mason.org/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/34.0.883.0 Safari/534.1"
171.222.11.209,2024-03-14 11:56:40 ,POST,/upload,403,229,4350,https://winters.biz/,Opera/9.90.(Windows 98; Win 9x 4.90; as-IN) Presto/2.9.173 Version/12.00
98.74.60.85,2024-06-01 07:58:37 ,GET,/settings,200,435,3991,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3 rv:6.0; ca-ES) AppleWebKit/534.17.4 (KHTML, like Gecko) Version/4.0.4 Safari/534.17.4"
5.126.28.184,2024-01-22 15:50:43 ,POST,/profile,500,1054,767,https://www.whitaker.info/,Opera/8.42.(Windows CE; ky-KG) Presto/2.9.186 Version/12.00
54.67.219.156,2024-01-29 20:19:32 ,POST,/admin,403,631,775,http://www.hayes.com/,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.20.3 (KHTML, like Gecko) Version/4.1 Safari/532.20.3"
22.37.27.70,2024-05-27 21:50:56 ,GET,/index.html,500,4512,567,-,Opera/8.26.(Windows NT 10.0; tk-TM) Presto/2.9.165 Version/11.00
82.186.19.157,2024-02-15 20:16:36 ,POST,/contact.html,404,886,3968,https://www.bray-beck.com/,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_2; rv:1.9.5.20) Gecko/8409-05-14 04:34:15.551178 Firefox/3.6.13
189.78.75.179,2024-06-18 08:23:36 ,GET,/profile,500,3613,3275,https://baxter-burke.com/,Opera/8.70.(X11; Linux x86_64; ia-FR) Presto/2.9.181 Version/12.00
148.80.223.92,2024-02-22 17:06:00 ,POST,/index.html,403,415,4136,-,"Mozilla/5.0 (iPad; CPU iPad OS 13_5_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/62.0.813.0 Mobile/43F098 Safari/534.0"
186.155.243.215,2024-05-27 03:49:12 ,POST,/settings,403,1036,4972,https://www.small.org/,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/29.0.810.0 Mobile/45N146 Safari/531.0"
18.29.238.100,2024-04-17 21:24:15 ,GET,/index.html,200,2551,121,https://www.romero.net/,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/11.3i3672.0 Mobile/41A752 Safari/533.1"
103.132.187.233,2024-03-08 23:16:12 ,POST,/contact.html,404,2776,2940,http://www.roman.org/,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.0)
77.217.184.76,2024-04-13 21:26:32 ,POST,/admin,200,2998,1019,-,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/37.0.813.0 Safari/534.1"
93.209.118.93,2024-04-01 11:48:23 ,POST,/contact.html,200,2196,544,-,"Mozilla/5.0 (Linux; Android 2.3.7) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/26.0.885.0 Safari/535.2"
47.133.86.86,2024-01-13 16:05:33 ,GET,/admin,200,241,1773,-,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/44.0.847.0 Safari/532.1"
50.81.193.153,2024-03-13 11:42:51 ,POST,/admin,500,871,3942,-,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/535.8.7 (KHTML, like Gecko) Version/5.1 Safari/535.8.7"
111.149.86.203,2024-02-20 17:16:41 ,GET,/admin,404,1461,2756,-,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_3) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/33.0.807.0 Safari/531.0"
170.135.70.178,2024-06-28 19:39:20 ,POST,/contact.html,500,3562,3186,-,"Mozilla/5.0 (Linux; Android 3.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/38.0.857.0 Safari/535.0"
78.196.218.24,2024-06-21 19:12:46 ,GET,/comment,500,580,3542,-,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/4.1)
198.144.10.228,2024-05-30 20:41:06 ,POST,/admin,301,526,1047,https://www.fuentes.com/,"Mozilla/5.0 (Linux; Android 2.2.2) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/18.0.815.0 Safari/536.2"
104.224.47.224,2024-04-07 13:52:09 ,GET,/admin,500,4308,3338,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.1)
2.19.82.123,2024-05-31 04:01:18 ,POST,/help,403,2647,1961,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_4 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/12.3f3495.0 Mobile/24E399 Safari/534.2"
56.186.57.78,2024-06-30 16:42:46 ,POST,/help,200,2147,4456,http://www.robinson.org/,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/532.15.1 (KHTML, like Gecko) Version/5.0.3 Safari/532.15.1"
171.141.10.51,2024-05-19 11:21:16 ,GET,/admin,200,166,2696,-,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/4.0)
87.155.109.67,2024-06-01 12:50:42 ,GET,/settings,404,2080,3450,https://www.todd.info/,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/4.0)
187.195.74.182,2024-07-05 15:38:41 ,GET,/upload,403,4423,2254,https://thornton.com/,Opera/9.89.(Windows NT 11.0; te-IN) Presto/2.9.171 Version/10.00
89.72.230.242,2024-03-31 06:06:10 ,GET,/index.html,301,3802,3110,http://www.rivers.org/,"Mozilla/5.0 (Linux; Android 4.4.4) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/15.0.883.0 Safari/532.1"
111.133.127.117,2024-04-03 04:36:39 ,GET,/comment,403,2807,2912,http://clark.com/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/63.0.854.0 Safari/532.2"
50.107.155.91,2024-01-13 21:49:09 ,POST,/upload,500,1889,4803,-,Opera/8.27.(Windows 98; Win 9x 4.90; hr-HR) Presto/2.9.161 Version/12.00
16.105.144.101,2024-04-07 15:22:51 ,POST,/profile,200,1591,4972,https://www.ross.com/,Mozilla/5.0 (Windows 98; Win 9x 4.90; dv-MV; rv:1.9.1.20) Gecko/4536-04-27 07:28:26.055923 Firefox/3.6.9
85.218.19.109,2024-06-22 21:33:06 ,GET,/settings,404,2246,4069,-,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.1)
80.73.124.41,2024-04-21 21:56:27 ,POST,/login,500,1031,4139,-,"Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/31.0.835.0 Safari/531.1"
53.90.120.231,2024-05-23 13:45:16 ,POST,/comment,403,1701,4770,http://henderson.com/,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/9117-03-06 22:11:37.083069 Firefox/3.6.11
37.117.247.71,2024-05-07 16:48:45 ,POST,/admin,200,1638,3119,-,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/3.0)
93.150.83.190,2024-01-29 04:15:58 ,GET,/settings,301,1121,1963,https://www.smith.net/,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_4) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/35.0.848.0 Safari/534.0"
63.185.51.185,2024-07-09 23:12:13 ,GET,/upload,200,1695,3121,https://collins-cunningham.com/,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/3.0)
61.26.220.48,2024-01-24 04:17:40 ,POST,/admin,500,3827,4661,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_4 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/34.0.884.0 Mobile/23N305 Safari/531.2"
110.19.143.87,2024-04-13 17:55:41 ,GET,/help,200,129,2153,https://novak.com/,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/5.1)
220.67.10.66,2024-01-06 23:05:31 ,POST,/products,403,1161,1095,-,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/52.0.865.0 Safari/532.0"
68.148.158.185,2024-02-19 12:39:49 ,POST,/index.html,500,2061,577,-,Opera/9.35.(Windows 98; lv-LV) Presto/2.9.163 Version/10.00
155.239.22.242,2024-03-25 19:00:37 ,GET,/comment,301,939,2444,-,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/60.0.824.0 Safari/532.0"
88.90.116.131,2024-05-04 07:16:38 ,GET,/index.html,500,2251,655,http://www.medina.com/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; xh-ZA) AppleWebKit/533.8.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6533.8.3"
55.189.79.33,2024-07-09 07:50:10 ,POST,/products,301,4828,4577,-,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.1)
43.83.137.223,2024-05-30 03:49:57 ,GET,/products,200,521,2159,-,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_0 rv:5.0; gl-ES) AppleWebKit/531.23.3 (KHTML, like Gecko) Version/5.0 Safari/531.23.3"
26.127.104.76,2024-01-20 02:15:44 ,GET,/help,403,1923,1809,http://www.drake.com/,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.38.7 (KHTML, like Gecko) Version/4.0.3 Safari/535.38.7"
31.12.44.6,2024-06-09 00:14:42 ,GET,/help,403,3292,3962,https://gonzalez.com/,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1)
194.246.47.153,2024-01-27 16:38:02 ,POST,/upload,403,1072,3942,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.1)
121.190.136.233,2024-01-21 19:35:11 ,POST,/admin,404,1557,3440,-,Opera/9.98.(X11; Linux x86_64; mhr-RU) Presto/2.9.190 Version/12.00
173.195.72.66,2024-05-03 23:41:38 ,GET,/products,403,4812,932,-,Opera/9.93.(Windows CE; st-ZA) Presto/2.9.162 Version/12.00
131.23.237.74,2024-02-01 10:56:04 ,POST,/products,200,4201,4551,-,"Mozilla/5.0 (Linux; Android 2.3.6) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/57.0.821.0 Safari/536.0"
209.20.130.109,2024-05-18 00:34:37 ,GET,/profile,404,3478,1862,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/4.0)
148.109.28.188,2024-03-18 12:15:17 ,GET,/login,404,1933,4216,http://www.donovan.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/29.0.838.0 Mobile/40H968 Safari/532.0"
107.159.124.138,2024-04-15 10:23:22 ,POST,/products,301,4719,2885,http://owens.info/,"Mozilla/5.0 (iPad; CPU iPad OS 17_2_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/14.7d0105.0 Mobile/44H906 Safari/531.0"
66.142.65.188,2024-01-17 05:03:47 ,GET,/contact.html,500,3398,2256,https://www.fox-hamilton.org/,Opera/9.96.(X11; Linux i686; yo-NG) Presto/2.9.186 Version/11.00
31.74.84.162,2024-06-13 17:12:10 ,GET,/profile,301,3768,3244,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_9 rv:3.0; dz-BT) AppleWebKit/533.3.2 (KHTML, like Gecko) Version/4.0 Safari/533.3.2"
218.180.192.8,2024-07-04 17:50:30 ,POST,/upload,500,1782,4457,-,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/3745-12-23 20:19:54.206635 Firefox/3.8
24.37.55.65,2024-05-11 10:43:49 ,GET,/index.html,404,2628,1156,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_7 rv:5.0; sq-AL) AppleWebKit/535.14.1 (KHTML, like Gecko) Version/4.0 Safari/535.14.1"
186.38.157.146,2024-04-04 04:51:28 ,GET,/settings,404,3826,4925,-,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.0)
218.116.132.215,2024-05-11 22:52:25 ,GET,/help,200,1817,3613,-,Mozilla/5.0 (Windows NT 5.01; lzh-TW; rv:1.9.1.20) Gecko/4837-05-03 17:42:49.749619 Firefox/3.8
12.91.254.235,2024-01-09 16:35:43 ,POST,/upload,404,4976,239,-,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.40.1 (KHTML, like Gecko) Version/5.0.2 Safari/532.40.1"
72.199.170.56,2024-03-21 14:07:25 ,POST,/profile,200,3294,137,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/33.0.878.0 Safari/533.0"
163.72.212.26,2024-05-26 16:36:04 ,GET,/settings,301,4091,4536,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_9 rv:3.0; kl-GL) AppleWebKit/534.17.5 (KHTML, like Gecko) Version/5.0.1 Safari/534.17.5"
98.222.48.98,2024-07-14 06:16:56 ,GET,/products,500,3185,2392,https://horton-foley.com/,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/534.42.5 (KHTML, like Gecko) Version/5.0 Safari/534.42.5"
41.105.113.159,2024-04-06 02:49:32 ,GET,/comment,301,359,739,https://crawford-rogers.org/,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/4994-09-19 20:30:27.654480 Firefox/7.0
178.2.41.226,2024-06-03 08:50:11 ,GET,/contact.html,200,3780,3085,http://parsons.com/,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/19.0.822.0 Safari/531.0"
110.251.236.108,2024-03-20 11:13:41 ,POST,/admin,200,4872,1511,http://www.davis.biz/,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/62.0.802.0 Safari/533.1"
154.10.195.59,2024-05-24 13:26:35 ,POST,/admin,301,2191,3354,http://www.moore.com/,Opera/8.92.(X11; Linux x86_64; ak-GH) Presto/2.9.162 Version/12.00
145.48.3.244,2024-04-29 18:52:05 ,POST,/products,500,4766,107,-,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/534.8.7 (KHTML, like Gecko) Version/5.1 Safari/534.8.7"
82.213.200.91,2024-06-10 22:29:33 ,GET,/upload,500,4518,1969,http://www.coleman.info/,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.1)
219.36.139.159,2024-01-18 11:43:50 ,POST,/admin,500,2306,2793,-,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_4 rv:2.0; lzh-TW) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.1 Safari/534.20.2"
57.249.165.57,2024-03-14 17:58:43 ,POST,/index.html,301,2965,1459,https://www.allen-johnson.com/,Mozilla/5.0 (Windows 95; nr-ZA; rv:1.9.1.20) Gecko/2136-06-01 19:16:32.731388 Firefox/3.8
114.70.174.125,2024-07-05 08:55:02 ,POST,/products,500,1877,845,-,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_5) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/42.0.845.0 Safari/533.0"
194.141.46.24,2024-05-06 03:35:05 ,GET,/upload,404,3285,207,http://parsons.com/,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_3) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/42.0.860.0 Safari/534.1"
181.45.173.90,2024-04-05 19:17:47 ,GET,/upload,500,457,638,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/36.0.852.0 Safari/535.0"
90.243.72.116,2024-04-19 09:57:01 ,GET,/upload,404,3490,426,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4; rv:1.9.5.20) Gecko/3453-03-04 16:56:44.742516 Firefox/3.6.8
22.224.193.1,2024-05-23 10:32:14 ,POST,/products,500,1957,3036,http://www.clark.com/,"Mozilla/5.0 (Windows 98) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/29.0.829.0 Safari/536.2"
163.163.89.57,2024-07-17 05:03:36 ,POST,/settings,404,2537,1113,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/25.0.877.0 Safari/531.0"
192.149.61.253,2024-02-15 10:31:35 ,GET,/index.html,301,3428,783,-,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/35.0.881.0 Safari/535.2"
24.177.32.69,2024-04-16 13:47:58 ,POST,/contact.html,200,4706,1960,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/53.0.861.0 Safari/535.2"
214.153.244.178,2024-02-01 21:39:54 ,GET,/help,500,914,4717,-,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_1; rv:1.9.6.20) Gecko/7788-04-10 02:34:27.217682 Firefox/14.0
107.8.159.189,2024-03-07 23:07:32 ,GET,/contact.html,200,3179,3812,-,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/31.0.884.0 Safari/536.2"
2.173.190.153,2024-02-15 10:48:22 ,GET,/contact.html,200,1384,4842,https://anthony-austin.com/,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_7 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/12.7b9072.0 Mobile/55O154 Safari/535.0"
78.21.157.90,2024-05-27 01:39:47 ,GET,/index.html,500,2417,2628,-,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/16.1m8562.0 Mobile/53M980 Safari/531.1"
177.173.202.96,2024-07-05 17:24:38 ,GET,/help,200,1265,3464,https://jones-franklin.com/,Opera/9.84.(X11; Linux x86_64; hi-IN) Presto/2.9.175 Version/10.00
145.37.200.115,2024-01-15 07:28:42 ,GET,/index.html,200,4816,2181,http://www.oliver.com/,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/5.1)
114.18.5.221,2024-05-13 16:56:02 ,GET,/comment,403,600,3817,-,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 11.0; Trident/3.1)
